Index,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
296,ukiah,90,US,1551647260,76,39.15,-123.21,57.99,3.36
297,meulaboh,8,ID,1551647073,100,4.14,96.13,78.79,5.97
298,buala,0,SB,1551647290,88,-8.15,159.59,82.48,3.29
299,bandiagara,0,ML,1551647290,24,14.35,-3.61,68.13,9.22
300,wawa,0,NG,1551647290,26,9.9,4.41,81.54,8.66
301,beringovskiy,92,RU,1551647290,94,63.05,179.32,32.35,25.1
302,yairipok,92,IN,1551647290,76,24.67,94.07,58.81,4.07
303,kruisfontein,0,ZA,1551647244,85,-34.0,24.73,63.36,5.41
304,porto novo,75,BR,1551646800,100,-23.68,-45.44,73.4,2.24
305,ishigaki,8,JP,1551647291,100,24.34,124.16,68.49,19.84
306,hidalgo,90,US,1551647256,78,26.1,-98.26,73.4,16.11
307,talcahuano,0,CL,1551643200,64,-36.72,-73.12,68.0,17.22
308,luderitz,20,NA,1551647057,78,-26.65,15.16,63.76,19.39
309,santa maria,20,BR,1551643200,58,-29.69,-53.81,86.0,10.29
310,massakory,0,TD,1551647293,28,13.0,15.73,82.39,12.12
311,tiznit,0,MA,1551647001,94,29.7,-9.73,55.57,3.74
312,saint-joseph,0,FR,1551647283,87,43.56,6.97,54.0,2.24
313,te anau,12,NZ,1551647294,81,-45.41,167.72,48.28,4.07
314,los llanos de aridane,20,ES,1551646804,72,28.66,-17.92,64.4,11.41
315,pimentel,92,BR,1551647294,97,-3.7,-45.5,73.57,1.72
316,bud,40,NO,1551646847,93,62.91,6.91,41.0,9.17
317,aranda de duero,0,ES,1551647295,54,41.67,-3.69,45.4,11.01
318,angoram,80,PG,1551647295,95,-4.06,144.07,75.1,2.73
319,dunedin,0,NZ,1551646932,75,-45.87,170.5,62.01,8.01
320,nanortalik,88,GL,1551647296,100,60.14,-45.24,27.18,10.89
321,saint-pierre,40,FR,1551647224,76,48.95,4.24,55.4,19.46
322,emerald,0,AU,1551647131,73,-23.53,148.16,72.0,10.29
